DOI,Name,Temperature,proton conductivity,RH,Ea,Guest,NOTE,Water Adsorption(cm^3/g),g/g,mol/mol,weight,wt%
10.1021/acsaem.1c01541,RUBTAK,343.0,0.142,98.0,0.2,"imidazole,H2SO4",IL@UiO-66,1438.0,,,,
10.1021/acsaem.1c01541,RUBTAK,303.0,1.31e-06,40.0,,"imidazole,H2SO4",IL@UiO-66,208.0,,,,
10.1021/acsaem.1c01541,RUBTAK,303.0,0.0663,98.0,0.2,"imidazole,H2SO4",IL@UiO-66,1438.0,,,,
10.1021/acsaem.1c01541,RUBTAK,333.4044596,0.123545429,98.0,0.2,"imidazole,H2SO4",IL@UiO-66,1438.0,,,,
10.1021/acsaem.1c01541,RUBTAK,322.5868888,0.098002477,98.0,0.2,"imidazole,H2SO4",IL@UiO-66,1438.0,,,,
10.1021/acsaem.1c01541,RUBTAK,313.8495531,0.085707603,98.0,0.2,"imidazole,H2SO4",IL@UiO-66,1438.0,,,,
10.1021/acsaem.1c01541,RUBTAK,303.0,1.27e-05,49.7119,,"imidazole,H2SO4",IL@UiO-66,227.0,,,,
10.1021/acsaem.1c01541,RUBTAK,303.0,5.07e-05,59.6091,,"imidazole,H2SO4",IL@UiO-66,247.0,,,,
10.1021/acsaem.1c01541,RUBTAK,303.0,0.000754988,69.7737,,"imidazole,H2SO4",IL@UiO-66,260.0,,,,
10.1021/acsaem.1c01541,RUBTAK,303.0,0.014610329,79.6708,,"imidazole,H2SO4",IL@UiO-66,441.0,,,,
10.1021/acsaem.1c01541,RUBTAK,342.1482118,1.12e-05,98.0,0.53,,UiO-66,480.0,,,,
10.1021/acsaem.1c01541,RUBTAK,333.1134784,6.67e-06,98.0,0.53,,UiO-66,480.0,,,,
10.1021/acsaem.1c01541,RUBTAK,322.3705843,3.46e-06,98.0,0.53,,UiO-66,480.0,,,,
10.1021/acsaem.1c01541,RUBTAK,313.2135396,2.2e-06,98.0,0.53,,UiO-66,480.0,,,,
10.1021/acsaem.1c01541,RUBTAK,302.8339198,9.87e-07,98.0,0.53,,UiO-66,480.0,,,,
10.1021/acsaem.1c01541,RUBTAK,303.0,1.04e-08,40.2955,,,UiO-66,202.0,,,,
10.1021/acsaem.1c01541,RUBTAK,303.0,1.63e-08,50.2448,,,UiO-66,221.0,,,,
10.1021/acsaem.1c01541,RUBTAK,303.0,1.75e-08,60.194,,,UiO-66,240.0,,,,
10.1021/acsaem.1c01541,RUBTAK,303.0,1.88e-08,70.1433,,,UiO-66,253.0,,,,
10.1021/acsaem.1c01541,RUBTAK,303.0,5e-08,80.0806,,,UiO-66,316.0,,,,
10.1021/acsaem.1c01541,RUBTAK,303.0,1.41e-07,90.2955,,,UiO-66,385.0,,,,
10.1021/acsaem.1c01541,RUBTAK,303.0,1.16e-06,97.7284,,,UiO-66,480.0,,,,
10.1021/acsaem.2c03518,CPO-27-Mg-NCSFA,373.0,0.00044,0.0,0.23,formamidine,,0.0,,,,
10.1021/acsaem.2c03518,CPO-27-Mg-NCSFA,383.0,0.0005,0.0,0.23,formamidine,,0.0,,,,
10.1021/acsaem.2c03518,CPO-27-Mg-NCSFA,393.0,0.00059,0.0,0.23,formamidine,,0.0,,,,
10.1021/acsaem.2c03518,CPO-27-Mg-NCSFA,403.0,0.0007,0.0,0.23,formamidine,,0.0,,,,
10.1021/acsaem.2c03518,CPO-27-Mg-NCSFA,413.0,0.00078,0.0,0.23,formamidine,,0.0,,,,
10.1021/acsaem.2c03518,CPO-27-Mg-NCSMA,373.0,9.7e-07,0.0,0.54,methylamine,,0.0,,,,
10.1021/acsaem.2c03518,CPO-27-Mg-NCSMA,383.0,1.5e-06,0.0,0.54,methylamine,,0.0,,,,
10.1021/acsaem.2c03518,CPO-27-Mg-NCSMA,393.0,2.2e-06,0.0,0.54,methylamine,,0.0,,,,
10.1021/acsaem.2c03518,CPO-27-Mg-NCSMA,403.0,3.3e-06,0.0,0.54,methylamine,,0.0,,,,
10.1021/acsaem.2c03518,CPO-27-Mg-NCSMA,413.0,4.4e-06,0.0,0.54,methylamine,,0.0,,,,
10.1021/acsaem.2c03518,CPO-27-Mg-NCSFA,298.0,0.00022,30.0,0.55,formamidine,,78.0,,,,
10.1021/acsaem.2c03518,CPO-27-Mg-NCSFA,303.0,0.00035,30.0,0.55,formamidine,,78.0,,,,
10.1021/acsaem.2c03518,CPO-27-Mg-NCSFA,313.0,0.0007,30.0,0.55,formamidine,,78.0,,,,
10.1021/acsaem.2c03518,CPO-27-Mg-NCSFA,323.0,0.0011,30.0,0.55,formamidine,,78.0,,,,
10.1021/acsaem.2c03518,CPO-27-Mg-NCSFA,333.0,0.002,30.0,0.55,formamidine,,78.0,,,,
10.1021/acsaem.2c03518,CPO-27-Mg-NCSFA,298.0,0.0012,50.0,0.31,formamidine,,132.0,,,,
10.1021/acsaem.2c03518,CPO-27-Mg-NCSFA,303.0,0.0015,50.0,0.31,formamidine,,132.0,,,,
10.1021/acsaem.2c03518,CPO-27-Mg-NCSFA,313.0,0.0022,50.0,0.31,formamidine,,132.0,,,,
10.1021/acsaem.2c03518,CPO-27-Mg-NCSFA,323.0,0.0033,50.0,0.31,formamidine,,132.0,,,,
10.1021/acsaem.2c03518,CPO-27-Mg-NCSFA,333.0,0.0036,50.0,0.31,formamidine,,132.0,,,,
10.1021/acsaem.2c03518,CPO-27-Mg-NCSMA,298.0,0.00056,50.0,0.47,methylamine,,116.0,,,,
10.1021/acsaem.2c03518,CPO-27-Mg-NCSMA,303.0,0.00084,50.0,0.47,methylamine,,116.0,,,,
10.1021/acsaem.2c03518,CPO-27-Mg-NCSMA,313.0,0.0014,50.0,0.47,methylamine,,116.0,,,,
10.1021/acsaem.2c03518,CPO-27-Mg-NCSMA,323.0,0.0023,50.0,0.47,methylamine,,116.0,,,,
10.1021/acsaem.2c03518,CPO-27-Mg-NCSMA,333.0,0.0035,50.0,0.47,methylamine,,116.0,,,,
10.1021/acsaem.2c03518,CPO-27-Mg-NCSMA,298.0,0.0018,60.0,0.34,methylamine,,272.0,,,,
10.1021/acsaem.2c03518,CPO-27-Mg-NCSMA,303.0,0.0022,60.0,0.34,methylamine,,272.0,,,,
10.1021/acsaem.2c03518,CPO-27-Mg-NCSMA,313.0,0.0032,60.0,0.34,methylamine,,272.0,,,,
10.1021/acsaem.2c03518,CPO-27-Mg-NCSMA,323.0,0.0046,60.0,0.34,methylamine,,272.0,,,,
10.1021/acsaem.2c03518,CPO-27-Mg-NCSMA,333.0,0.007,60.0,0.34,methylamine,,272.0,,,,
10.1021/acsaem.2c03518,CPO-27-Mg-NCSMA,298.0,0.0038,70.0,0.27,methylamine,,404.0,,,,
10.1021/acsaem.2c03518,CPO-27-Mg-NCSMA,303.0,0.0046,70.0,0.27,methylamine,,404.0,,,,
10.1021/acsaem.2c03518,CPO-27-Mg-NCSMA,313.0,0.006,70.0,0.27,methylamine,,404.0,,,,
10.1021/acsaem.2c03518,CPO-27-Mg-NCSMA,323.0,0.0084,70.0,0.27,methylamine,,404.0,,,,
10.1021/acsaem.2c03518,CPO-27-Mg-NCSMA,333.0,0.01,70.0,0.27,methylamine,,404.0,,,,
10.1021/acsami.1c06346,CPO-27-Mg-NCS,298.0,7e-05,30.0,0.3,NH3,,,,,,
10.1021/acsami.1c06346,CPO-27-Mg-NCS,303.0,8.7e-05,30.0,0.3,NH3,,,,,,
10.1021/acsami.1c06346,CPO-27-Mg-NCS,313.0,0.00014,30.0,0.3,NH3,,,,,,
10.1021/acsami.1c06346,CPO-27-Mg-NCS,323.0,0.00016,30.0,0.3,NH3,,,,,,
10.1021/acsami.1c06346,CPO-27-Mg-NCS,298.0,0.00026,45.0,0.23,NH3,,,,,,
10.1021/acsami.1c06346,CPO-27-Mg-NCS,303.0,0.00033,45.0,0.23,NH3,,,,,,
10.1021/acsami.1c06346,CPO-27-Mg-NCS,313.0,0.00045,45.0,0.23,NH3,,,,,,
10.1021/acsami.1c06346,CPO-27-Mg-NCS,323.0,0.00053,45.0,0.23,NH3,,,,,,
10.1021/acsami.1c06346,CPO-27-Mg-NCS,333.0,0.00062,45.0,0.23,NH3,,,,,,
10.1021/acsami.1c06346,CPO-27-Mg-NCS,298.0,0.00068,60.0,0.17,NH3,,,,,,
10.1021/acsami.1c06346,CPO-27-Mg-NCS,303.0,0.00074,60.0,0.17,NH3,,,,,,
