level_0,index,DOI,Name,Temperature,proton conductivity,RH,Ea,Guest,NOTE,Water Adsorption(cm^3/g),g/g,mol/mol,weight,wt%
472,472,10.1021/acs.cgd.2c01251,GEWTIP,303.0,3.94e-07,65.0,,,Ni-MOF,,,,,
473,473,10.1021/acs.cgd.2c01251,GEWTIP,313.0,9.79e-07,65.0,,,Ni-MOF,,,,,
474,474,10.1021/acs.cgd.2c01251,GEWTIP,328.0,1.62e-06,65.0,,,Ni-MOF,,,,,
475,475,10.1021/acs.cgd.2c01251,GEWTIP,343.0,1.95e-06,65.0,,,Ni-MOF,,,,,
476,476,10.1021/acs.cgd.2c01251,GEWTIP,358.0,4.88e-06,65.0,,,Ni-MOF,,,,,
477,477,10.1021/acs.cgd.2c01251,GEWTIP,303.0,2.44e-06,80.0,,,Ni-MOF,,,,,
478,478,10.1021/acs.cgd.2c01251,GEWTIP,313.0,4.27e-06,80.0,,,Ni-MOF,,,,,
479,479,10.1021/acs.cgd.2c01251,GEWTIP,328.0,5.59e-06,80.0,,,Ni-MOF,,,,,
480,480,10.1021/acs.cgd.2c01251,GEWTIP,343.0,1.11e-05,80.0,,,Ni-MOF,,,,,
481,481,10.1021/acs.cgd.2c01251,GEWTIP,358.0,3.25e-05,80.0,,,Ni-MOF,,,,,
482,482,10.1021/acs.cgd.2c01251,GEWTIP,303.0,0.000107,95.0,0.36,,Ni-MOF,,,,,
483,483,10.1021/acs.cgd.2c01251,GEWTIP,313.0,0.000184,95.0,0.36,,Ni-MOF,,,,,
484,484,10.1021/acs.cgd.2c01251,GEWTIP,328.0,0.000279,95.0,0.36,,Ni-MOF,,,,,
485,485,10.1021/acs.cgd.2c01251,GEWTIP,343.0,0.00108,95.0,0.36,,Ni-MOF,,,,,
486,486,10.1021/acs.cgd.2c01251,GEWTIP,358.0,0.00195,95.0,0.36,,Ni-MOF,,,,,
538,538,10.1021/acs.cgd.8b00545,YEXCUC,373.0,0.0108,0.0,0.29,,FJU-17,,,,,
539,539,10.1021/acs.cgd.8b00545,YEXCUC,342.7686106,0.009350592,0.0,0.29,,FJU-17,,,,,
540,540,10.1021/acs.cgd.8b00545,YEXCUC,332.7476974,0.007487805,0.0,0.29,,FJU-17,,,,,
541,541,10.1021/acs.cgd.8b00545,YEXCUC,322.6420512,0.005878277,0.0,0.29,,FJU-17,,,,,
542,542,10.1021/acs.cgd.8b00545,YEXCUC,312.8255341,0.004518507,0.0,0.29,,FJU-17,,,,,
543,543,10.1021/acs.cgd.8b00545,YEXCUC,303.0,0.00317,0.0,0.29,,FJU-17,,,,,
544,544,10.1021/acs.cgd.8b00545,YEXCUC,292.7169105,0.002313782,0.0,0.29,,FJU-17,,,,,
545,545,10.1021/acs.cgd.8b00545,YEXCUC,282.5952417,0.001607658,0.0,0.29,,FJU-17,,,,,
546,546,10.1021/acs.cgd.8b00545,YEXCUC,272.6838912,0.001071363,0.0,0.29,,FJU-17,,,,,
547,547,10.1021/acs.cgd.8b00545,YEXCUC,262.7934417,0.000656861,0.0,0.29,,FJU-17,,,,,
548,548,10.1021/acs.cgd.8b00545,YEXCUC,252.7914496,0.000378738,0.0,0.29,,FJU-17,,,,,
549,549,10.1021/acs.cgd.8b00545,YEXCUC,242.7820885,0.000201,0.0,0.29,,FJU-17,,,,,
550,550,10.1021/acs.cgd.8b00545,YEXCUC,233.0,9.13e-05,0.0,0.29,,FJU-17,,,,,
551,551,10.1021/acs.cgd.8b01327,SISZEC,303.0,8.6e-05,98.0,0.3,DMF,1,160.0,,,,
552,552,10.1021/acs.cgd.8b01327,SISZEC,300.9953918,7.92e-05,98.0,0.3,DMF,1,160.0,,,,
553,553,10.1021/acs.cgd.8b01327,SISZEC,298.9679626,7.32e-05,98.0,0.3,DMF,1,160.0,,,,
554,554,10.1021/acs.cgd.8b01327,SISZEC,296.9967687,6.5e-05,98.0,0.3,DMF,1,160.0,,,,
555,555,10.1021/acs.cgd.8b01327,SISZEC,294.9748092,6.1e-05,98.0,0.3,DMF,1,160.0,,,,
556,556,10.1021/acs.cgd.8b01327,SISZEC,292.9767611,5.88e-05,98.0,0.3,DMF,1,160.0,,,,
567,567,10.1021/cm302381k,NIBXUT,294.0,0.00032,98.0,0.23,,GdHPA-2,,,,,
568,568,10.1021/cm302381k,NIBXUT,292.1533454,0.000286418,98.0,0.23,,GdHPA-2,,,,,
569,569,10.1021/cm302381k,NIBXUT,290.1384831,0.000264966,98.0,0.23,,GdHPA-2,,,,,
570,570,10.1021/cm302381k,NIBXUT,288.1512218,0.000253431,98.0,0.23,,GdHPA-2,,,,,
571,571,10.1021/cm302381k,NIBXUT,286.1566021,0.000239723,98.0,0.23,,GdHPA-2,,,,,
572,572,10.1021/cm302381k,NIBXUT,284.1554899,0.000226757,98.0,0.23,,GdHPA-2,,,,,
573,573,10.1021/cm302381k,NIBXUT,294.1219724,2.01e-05,69.0,0.49,,GdHPA-2,,,,,
574,574,10.1021/cm302381k,NIBXUT,292.1533454,1.82e-05,69.0,0.49,,GdHPA-2,,,,,
575,575,10.1021/cm302381k,NIBXUT,290.1384831,1.57e-05,69.0,0.49,,GdHPA-2,,,,,
576,576,10.1021/cm302381k,NIBXUT,288.1512218,1.39e-05,69.0,0.49,,GdHPA-2,,,,,
577,577,10.1021/cm302381k,NIBXUT,286.1222142,1.18e-05,69.0,0.49,,GdHPA-2,,,,,
578,578,10.1021/cm302381k,NIBXUT,284.1554899,1.03e-05,69.0,0.49,,GdHPA-2,,,,,
643,643,10.1021/acs.chemmater.8b02765,MAXFOI01,293.0,0.000291,99.0,,,MFM-555(Nd),,,,,
655,655,10.1021/acs.chemmater.8b02765,MAXFOI01,293.0,5.08e-05,70.0,,,MFM-555(Nd),,,,,
667,667,10.1021/acs.chemmater.8b02765,MAXFOI01,293.0,7.15e-06,45.0,,,MFM-555(Nd),,,,,
805,900,10.1021/acs.inorgchem.1c01522,FATKOC,303.0,4.05e-08,68.0,0.73,,2 Eu,167.85750762685896,0.135,,,
806,901,10.1021/acs.inorgchem.1c01522,FATKOC,313.0,7.5e-08,68.0,0.73,,2 Eu,167.85750762685896,0.135,,,
807,902,10.1021/acs.inorgchem.1c01522,FATKOC,323.0,1.13e-07,68.0,0.73,,2 Eu,167.85750762685896,0.135,,,
